true weight,predicted weight
0.15555875678497602,0.22326806045310899
0.1122856785654264,0.22184307097938288
0.1715773709233953,0.20774113482181286
0.251628033802198,0.196793893866197
0.14954034391997637,0.19868922064331787
0.20267947116018975,0.2153340414643842
0.24056355418679737,0.2058036890152978
0.15641692734501095,0.2076955304559612
0.2123712273824521,0.20443980463668326
0.22389694774635654,0.20791011995295555
0.1858701837931132,0.213175552604482
0.1856625587432006,0.1881271052794056
0.18149280582394717,0.20973240075576544
0.18531122802332578,0.2114047248723688
0.17368943020986793,0.2055756585813325
0.23248239038666407,0.22140977727017624
0.24011370162777232,0.2037671766187624
0.24965122661675854,0.1955846199281942
0.17689224670116105,0.2004564885894046
0.20867790840632477,0.18937763910277686
0.18873582674411749,0.20727542090738624
0.1915912376605683,0.21110399200667346
0.30513688557056756,0.20124728291242794
0.24875017318834441,0.20589715453195329
0.2895884539471321,0.21395151975463333
0.24113941181601392,0.20116157384116456
0.1962090935571347,0.20028560829116532
0.24524881186651096,0.2150572975374485
0.2893166876394952,0.1968753594357043
0.20232417733868358,0.21839582794473755
0.20836394124344731,0.21621654850100075
0.15577677895645578,0.19327870647024187
0.13567375758391864,0.20108426325333836
0.17650749737505084,0.21602779767272326
0.2347866651117022,0.20970606868776068
0.2832318182350133,0.18580703223671513
0.18635360664718092,0.20720612712436254
0.186903018267783,0.21460016355311265
0.19847269215758487,0.21413283954860202
0.22897936725924767,0.2234546187556738
0.23348751289604472,0.20348080663051005
0.21758946942428203,0.2161169635304961
0.18125567401556653,0.19309797845858132
0.18766198592211508,0.19250624443072162
0.19045718055634828,0.21206553271644785
