имя	v АК	v ЦН	v ХЗ	v ВМ	I(max)	I nm	I(650)	I(max)-I(650)	I(400)	I(max)-I(400)	coef A	height	weight	ang
0	2.5	0.1	0.4	3.0	0.1626076089746671	534.908	0.08076016871166211	0.081847440263005	0.13569354390693175	1.198344477510256	-2.5877558458951825e-05	33.84299999999996	0.15567594904010812	-0.0007430500413928992
2	1.0	0.7000000000000001	1.3	3.0	0.1798660067657943	531.453	0.0726487026946111	0.10721730407118321	0.14784712404805822	1.216567504602445	-3.7353392324370886e-05	30.434999999999945	0.1718241222802417	-0.0011159894730400004
3	0.3	1.2	1.5	3.0	0.2674590190867256	529.378	0.09835503448991488	0.1691039845968107	0.20866709367929917	1.2817498646805512	-7.967960494471488e-05	28.728000000000065	0.25270457890966747	-0.002104683811012954
4	0.1	0.8	2.1	3.0	0.15417780802397493	533.872	0.08928628578436089	0.06489152223961404	0.13702990768564244	1.1251398371928496	-1.6501205181456322e-05	33.837999999999965	0.14950408203356597	-0.0005083877504387603
5	2.1	0.6	0.3	3.0	0.21522758999417685	530.07	0.07362202547323515	0.1416055645209417	0.1667068608141612	1.2910541830315239	-5.970925029492162e-05	30.100000000000023	0.20309572766663705	-0.0016228358683157784
6	1.3	1.2	0.5	3.0	0.2576912474094953	530.07	0.07819918265214305	0.17949206475735224	0.19214724864437766	1.341113386881876	-8.34224699541146e-05	29.408000000000015	0.24130524771821588	-0.002207544602602633
7	0.4	0.1	2.5	3.0	0.16335414708890314	535.943	0.07694294167790368	0.08641120541099946	0.13634480787019873	1.1980958398094448	-2.513676672928582e-05	33.480999999999995	0.15658388194562248	-0.0007997244979822849
8	1.6	0.9	0.5	3.0	0.22694518145886244	530.07	0.06883543656301991	0.15810974489584254	0.17143470167773628	1.3237995530535878	-7.038413070602262e-05	29.755999999999972	0.21306260750024653	-0.001888306945658618
9	1.8	0.3	0.9	3.0	0.2405070429696137	535.598	0.08209275123549001	0.1584142917341237	0.17626014195982317	1.364500449707087	-7.160845496355967e-05	32.10000000000002	0.2244282079633628	-0.0017019716095018314
10	1.2	0.5	1.3	3.0	0.19558664536293224	531.107	0.07864037643384814	0.11694626892908411	0.15837744435814324	1.2349400266912176	-4.342833094343901e-05	30.778999999999996	0.18623816760433387	-0.0012500979181809474
11	0.7000000000000001	0.8	1.5	3.0	0.19612363110747474	532.835	0.07644166452750667	0.11968196657996807	0.15570780665223916	1.259561966250678	-4.587936338441989e-05	31.45399999999995	0.1859995339209551	-0.001281758647775918
12	1.6	0.2	1.2	3.0	0.1913143932626714	531.799	0.07545847921150423	0.11585591405116719	0.15350659617971454	1.246294283267764	-4.691314331478452e-05	30.07899999999995	0.18177643744124028	-0.001261463577150929
13	0.2	1.4	1.4	3.0	0.19389186314341075	533.181	0.08883577834326796	0.1050560848001428	0.1619816676155674	1.196998808553917	-3.4214961476885746e-05	32.474000000000046	0.1856218028351419	-0.0009564043514195267
