имя	v АК	v ЦН	v ХЗ	v ВМ	I(max)	I nm	I(650)	I(max)-I(650)	I(400)	I(max)-I(400)	coef A	height	weight	ang
14	0.8	0.4	1.8	3.0	0.1819180002806525	533.526	0.07931953884334131	0.10259846143731119	0.15029849757246902	1.2103780358345737	-3.279828140994749e-05	32.47900000000004	0.1739142124502287	-0.0009538185701069943
15	1.0	1.7	0.3	3.0	0.248887833665965	531.107	0.07738807332770657	0.17149976033825842	0.185725659223605	1.3400831888625346	-7.573118619995919e-05	30.439000000000078	0.2330895075932548	-0.0020815213898324144
16	1.7	0.9	0.4	3.0	0.2569319025397533	528.339	0.0758693057504385	0.1810625967893148	0.19305114299511905	1.3309007061732308	-8.641170003477378e-05	28.392000000000053	0.24094948263385663	-0.0022608276066397254
17	0.4	0.5	2.1	3.0	0.2665443756451579	533.526	0.10404835249801196	0.16249602314714595	0.2000815984291497	1.3321783599182069	-7.240552777157203e-05	32.47099999999989	0.2499046093208075	-0.0018001598275720673
18	0.7000000000000001	0.6	1.7	3.0	0.18515013258385357	531.107	0.07858965842418675	0.10656047415966682	0.15409561439026104	1.201527592569534	-3.436245359173075e-05	31.470000000000027	0.17721554026692918	-0.0010353717445320593
19	0.3	0.9	1.8	3.0	0.21904348510216892	535.253	0.10015572320639901	0.11888776189576991	0.17897347846552222	1.22388795803824	-4.0327408977742645e-05	33.480999999999995	0.2089203712366442	-0.0010723129944120425
20	1.6	0.6	0.8	3.0	0.2005265864682241	531.453	0.06974766404146522	0.13077892242675887	0.15522542688175492	1.2918411016577713	-5.6722982706632055e-05	30.08400000000006	0.18917818209259252	-0.0014769419977151772
21	1.5	0.4	1.1	3.0	0.20325251400251734	531.107	0.07385316822148136	0.12939934578103598	0.15849972465118983	1.2823524737964997	-5.297674190454571e-05	30.432000000000016	0.19206423542377896	-0.0014817056756974219
23	2.0	0.7000000000000001	0.3	3.0	0.26979370159457633	539.047	0.09097701341781896	0.1788166881767574	0.18707137755149617	1.4421965836024742	-7.984266681982113e-05	34.124000000000024	0.24910983619009702	-0.001874762450725528
24	1.1	1.6	0.3	3.0	0.31272431911831683	534.562	0.1033848989852402	0.20933942013307663	0.2228044624122183	1.4035819378686172	-0.00010468874339067597	31.427999999999997	0.29021881824833257	-0.002558862817487457
25	1.1	1.1	0.8	3.0	0.2570741034424519	530.07	0.08793172942878207	0.16914237401366983	0.196115760134166	1.31082837639659	-7.512697341134991e-05	29.755999999999972	0.2418232114493801	-0.0020203027898722903
26	0.5	0.5	2.0	3.0	0.2055987419394391	531.799	0.09507979407026071	0.1105189478691784	0.1697993476919729	1.2108335204703415	-4.268163087564714e-05	30.771000000000072	0.19654845441067959	-0.0011663582808911067
27	0.8	2.2	0.0	3.0	0.26424789338272026	534.562	0.08556132137985382	0.17868657200286642	0.19045584772965019	1.387449619072957	-8.80158355513389e-05	31.079999999999927	0.2457689883366559	-0.0021243711653798044
28	1.2	0.2	1.6	3.0	0.31352434661856365	535.253	0.10216432497164718	0.21136002164691647	0.21991712171531602	1.4256477357157427	-0.00010864671554313226	31.418999999999983	0.2900320237530556	-0.002605068963630391
29	0.4	1.6	1.0	3.0	0.21237433656804888	533.526	0.09687336843813646	0.11550096812991242	0.1738776820569506	1.2214007804549027	-3.965017668611751e-05	32.827	0.20271647248974278	-0.0011020630522470922
30	0.0	2.1	0.9	3.0	0.2197412170240725	536.288	0.09876612170525974	0.12097509531881277	0.176163925804305	1.2473678479904913	-4.188073632052133e-05	33.81899999999996	0.20871420334828944	-0.0011293487852804365
31	0.6000000000000001	0.9	1.5	3.0	0.16166025080992305	534.217	0.08099444246640014	0.08066580834352291	0.13902731726966153	1.1627948663956595	-2.0996622020384544e-05	33.847000000000094	0.15588185852252762	-0.0006518988743776537
32	0.2	0.9	1.9	3.0	0.13971671915066422	532.835	0.07850309306196691	0.06121362608869731	0.12462081741450347	1.1211346711516905	-1.5489869825925263e-05	32.47900000000004	0.13565349988630138	-0.0004996129027050383
33	0.7000000000000001	1.5	0.8	3.0	0.18540207796113484	531.799	0.0782284182486599	0.10717365971247493	0.15112329410521208	1.2268266057783115	-3.6769097573192486e-05	31.80200000000002	0.17671940944946496	-0.0010588964459625019
34	2.1	0.9	0.0	3.0	0.25410720757556465	534.908	0.0748027672543492	0.17930444032121545	0.17896287264188937	1.4198878450282901	-8.536441260787556e-05	31.765999999999963	0.23531963267229436	-0.0021263488421069416
35	0.1	0.6	2.3	3.0	0.3097410937831605	537.668	0.09036979779357127	0.21937129598958924	0.20580839023745243	1.5049974076654271	-0.000108227646642918	33.10600000000011	0.28375733852150054	-0.0024452262217337494
36	1.5	0.6	0.9	3.0	0.19703389993024117	531.453	0.07265457647817872	0.12437932345206246	0.1563944064343169	1.2598526022923473	-4.512521780218421e-05	31.127000000000066	0.18687389237834628	-0.0013224724329226347
37	1.9	0.3	0.8	3.0	0.19801527274552672	530.07	0.06952955105811864	0.12848572168740807	0.1552946575340757	1.275093914303375	-5.0372754312048395e-05	30.44900000000007	0.18733043660337778	-0.001422008173587957
38	2.2	0.3	0.5	3.0	0.2109926494837129	530.761	0.07217436017698434	0.13881828930672857	0.1619084836532636	1.3031599377804433	-5.4571562959693954e-05	31.127000000000066	0.19872006808317705	-0.0015241071616993109
39	0.9	2.1	0.0	3.0	0.24746959493754936	535.253	0.07444052726740645	0.17302906767014292	0.1742768810685092	1.4199794798959462	-8.359036849400813e-05	31.762000000000057	0.22916387604710656	-0.0020365667078326975
40	1.5	0.3	1.2	3.0	0.25195185018434113	536.978	0.08469890440935572	0.1672529457749854	0.17880111200376386	1.4091179152120563	-8.012632143754123e-05	32.087999999999965	0.23365886204290182	-0.00196730146398052
41	0.2	2.0	0.8	3.0	0.2303786938263939	533.526	0.09527555101431442	0.13510314281207947	0.1808958963067404	1.2735429522168198	-5.624527046803784e-05	32.131000000000085	0.2180060513630659	-0.0014177227491351365
42	0.8	1.0	1.2	3.0	0.18972717723631508	532.144	0.08078088222248427	0.10894629501383081	0.1572301523272487	1.2066844331577644	-3.3382309782548775e-05	32.49699999999996	0.18152459287321038	-0.0010142061969898844
43	0.2	0.8	2.0	3.0	0.1984795858275768	531.107	0.07813385968607878	0.12034572614149802	0.15803832271705248	1.2558952943516697	-5.1488143751752065e-05	30.08400000000006	0.1880610676111995	-0.0012822407031900342
44	1.8	0.6	0.6000000000000001	3.0	0.20284577384146588	531.453	0.06868795825609085	0.13415781558537504	0.1551444140027855	1.307464243203909	-5.762936627570949e-05	30.08400000000006	0.19090988878077	-0.0015525787448009468
