true I(max),predicted I(max)
0.1626076089746671,0.22818952744673404
0.04124127600052185,0.2362652628696975
0.1798660067657943,0.21643663469262017
0.2674590190867256,0.21235860624129574
0.15417780802397493,0.2124210606246029
0.21522758999417685,0.2241099066801488
0.2576912474094953,0.22181636994912302
0.16335414708890314,0.20818327999864344
0.22694518145886244,0.22229441036745687
0.2405070429696137,0.21715901396957304
0.19558664536293224,0.21581466163150798
0.19612363110747474,0.21458194971549854
0.1913143932626714,0.2167348035162226
0.19389186314341075,0.2169963096961836
0.1819180002806525,0.21212559253050473
0.248887833665965,0.2240200120525298
0.2569319025397533,0.22201954567877605
0.2665443756451579,0.20565242624052618
0.18515013258385357,0.21302448008370944
0.21904348510216892,0.21143232137531556
0.2005265864682241,0.22013378404139283
0.20325251400251734,0.2172128168973515
0.3239747726594549,0.21678685526044233
0.26979370159457633,0.2214170209986387
0.31272431911831683,0.22087186919670662
0.2570741034424519,0.219351830952817
0.2055987419394391,0.20967447455787142
0.26424789338272026,0.2247111395330119
0.31352434661856365,0.20793685723626362
0.21237433656804888,0.2197932396085425
0.2197412170240725,0.221149296216299
0.16166025080992305,0.21583283878732834
0.13971671915066422,0.21451580120142144
0.18540207796113484,0.22238019073411752
0.25410720757556465,0.22485330624782746
0.3097410937831605,0.1872185635742069
0.19703389993024117,0.21933927211220228
0.19801527274552672,0.2201505698145674
0.2109926494837129,0.22225626833882306
0.24746959493754936,0.22657967343880303
0.25195185018434113,0.21433610884992343
0.2303786938263939,0.22086398822747558
0.18972717723631508,0.2175326943937352
0.1984795858275768,0.21056004964085243
0.20284577384146588,0.22189796118990518
