true coef A,predicted coef A
-2.5877558458951825e-05,-7.017590694014021e-05
0.0,-6.709214949416728e-05
-3.7353392324370886e-05,-5.525530359647431e-05
-7.967960494471488e-05,-5.125123498639152e-05
-1.6501205181456322e-05,-5.056259008681714e-05
-5.970925029492162e-05,-6.267355855284809e-05
-8.34224699541146e-05,-5.9229304524421425e-05
-2.513676672928582e-05,-4.864725244575163e-05
-7.038413070602262e-05,-6.016169060897582e-05
-7.160845496355967e-05,-5.7898815085734584e-05
-4.342833094343901e-05,-5.5511461388656886e-05
-4.587936338441989e-05,-5.335651696255591e-05
-4.691314331478452e-05,-5.688932028718139e-05
-3.4214961476885746e-05,-5.385836437920583e-05
-3.279828140994749e-05,-5.2329608539213744e-05
-7.573118619995919e-05,-5.975944200095214e-05
-8.641170003477378e-05,-6.030671642483938e-05
-7.240552777157203e-05,-4.134666810284542e-05
-3.436245359173075e-05,-5.258919122217661e-05
-4.0327408977742645e-05,-5.117944750283053e-05
-5.6722982706632055e-05,-5.8821346550336846e-05
-5.297674190454571e-05,-5.698598187812363e-05
-8.682109223293059e-05,-6.289718703880052e-05
-7.984266681982113e-05,-6.143893719470604e-05
-0.00010468874339067597,-5.86149209131472e-05
-7.512697341134991e-05,-5.744684523979967e-05
-4.268163087564714e-05,-5.0251021812500296e-05
-8.80158355513389e-05,-5.917042764217917e-05
-0.00010864671554313226,-4.652625553895546e-05
-3.965017668611751e-05,-5.636978589981515e-05
-4.188073632052133e-05,-5.692365357633182e-05
-2.0996622020384544e-05,-5.395420527984165e-05
-1.5489869825925263e-05,-5.170338912467903e-05
-3.6769097573192486e-05,-5.80374851716119e-05
-8.536441260787556e-05,-6.293977078878804e-05
-0.000108227646642918,-3.4132518657361706e-05
-4.512521780218421e-05,-5.8389414640914695e-05
-5.0372754312048395e-05,-5.974354048978432e-05
-5.4571562959693954e-05,-6.202085274712303e-05
-8.359036849400813e-05,-6.009975557487338e-05
-8.012632143754123e-05,-5.5333178937967484e-05
-5.624527046803784e-05,-5.632282261725977e-05
-3.3382309782548775e-05,-5.5605452154180756e-05
-5.1488143751752065e-05,-4.92812030561345e-05
-5.762936627570949e-05,-6.036373098344683e-05
