true ang,predicted ang
-0.0007430500413928992,-0.001845539509481995
-9.269108707839889e-05,-0.0017495612160147542
-0.0011159894730400004,-0.0014203665628959648
-0.002104683811012954,-0.0012927100078657465
-0.0005083877504387603,-0.001335035565473059
-0.0016228358683157784,-0.0017381260689702683
-0.002207544602602633,-0.0016251179574558253
-0.0007997244979822849,-0.0012887433416655478
-0.001888306945658618,-0.0016482462537935026
-0.0017019716095018314,-0.0015433962622333488
-0.0012500979181809474,-0.0014249448208063058
-0.001281758647775918,-0.0013483743769227843
-0.001261463577150929,-0.0014725442978848107
-0.0009564043514195267,-0.0013830708657485604
-0.0009538185701069943,-0.0013848064954366547
-0.0020815213898324144,-0.001554500656191864
-0.0022608276066397254,-0.0016626752568215325
-0.0018001598275720673,-0.001119414312842967
-0.0010353717445320593,-0.0013012129415171066
-0.0010723129944120425,-0.0012584004389860934
-0.0014769419977151772,-0.0015766032239189279
-0.0014817056756974219,-0.0014858229266807134
-0.0022538794735184786,-0.0016565545638354369
-0.001874762450725528,-0.001717369397104151
-0.002558862817487457,-0.0015401056748440855
-0.0020203027898722903,-0.0015432898964197693
-0.0011663582808911067,-0.0012015464189295872
-0.0021243711653798044,-0.0015558524392959784
-0.002605068963630391,-0.0012608171925559504
-0.0011020630522470922,-0.001501345987615853
-0.0011293487852804365,-0.0015469868009093486
-0.0006518988743776537,-0.0013668818355019824
-0.0004996129027050383,-0.0013623435813500308
-0.0010588964459625019,-0.0015674382091016284
-0.0021263488421069416,-0.0016576395651257743
-0.0024452262217337494,-0.000964206434670977
-0.0013224724329226347,-0.001548793997866241
-0.001422008173587957,-0.0015934809249768265
-0.0015241071616993109,-0.0016910687977417537
-0.0020365667078326975,-0.0015766729439082795
-0.00196730146398052,-0.0014335125945273998
-0.0014177227491351365,-0.0015390931523685137
-0.0010142061969898844,-0.0014448240202730085
-0.0012822407031900342,-0.0011824560307669694
-0.0015525787448009468,-0.0016399221789951662
