true I nm,predicted I nm
534.908,529.7896661843819
475.179,532.683139866361
531.453,531.8610243397154
529.378,532.531908146923
533.872,532.9736096296824
530.07,530.4172352463406
530.07,531.0284294687282
535.943,532.9836614039763
530.07,530.863911037849
535.598,530.8604585801568
531.107,531.7624919984074
532.835,532.1659583597691
531.799,531.4270467293875
533.181,532.3220141593797
533.526,532.3456593015396
531.107,530.9805442634809
528.339,530.7860040709044
533.526,532.8291430151361
531.107,532.3996830164217
535.253,532.5432511886854
531.453,531.0863173041851
531.107,531.4213904911729
531.453,529.7822308357969
539.047,530.0108443275452
534.562,530.7556433413432
530.07,531.3984828030657
531.799,532.7668205605377
534.562,530.4331914702549
535.253,531.8626459056014
533.526,531.8258607957885
536.288,531.5591306557457
534.217,532.1774943858193
532.835,532.7960978057198
531.799,531.5706776776592
534.908,529.8449095585461
537.668,532.8925604115811
531.453,531.2314355503016
530.07,530.9827083090745
530.761,530.5003382097295
535.253,530.3534391184123
536.978,531.2812766726963
533.526,531.6914143738884
532.144,531.8649469565421
531.107,532.9778963218774
531.453,530.7923424298277
