true height,predicted height
33.84299999999996,20.99395504649185
-221.10599999999994,31.255331502569334
30.434999999999945,26.83473853244554
28.728000000000065,28.249323947577224
33.837999999999965,30.57997886483043
30.100000000000023,21.67709497891391
29.408000000000015,23.38567326956226
33.480999999999995,31.957001987599774
29.755999999999972,23.11289592230169
32.10000000000002,24.360440467453714
30.778999999999996,26.64228749549988
31.45399999999995,27.842359570733393
30.07899999999995,25.855968171608374
32.474000000000046,27.71945452920798
32.47900000000004,28.891478301469064
30.439000000000078,22.627455936922217
28.392000000000053,22.64883927635224
32.47099999999989,30.417292920132404
31.470000000000027,28.627363332699023
33.480999999999995,29.256172530965973
30.08400000000006,24.30621173451881
30.432000000000016,25.570947705116026
30.432000000000016,19.73372387689001
34.124000000000024,21.609677523206756
31.427999999999997,22.53891232985066
29.755999999999972,24.774011491562362
30.771000000000072,30.015354823308442
31.079999999999927,21.058354547156497
31.418999999999983,27.772480597355575
32.827,25.88872049190023
33.81899999999996,25.31674425263597
33.847000000000094,27.846226341382987
32.47900000000004,29.775713878279504
31.80200000000002,24.949544870204022
31.765999999999963,20.307582346896304
33.10600000000011,31.43428659314146
31.127000000000066,24.774604650770627
30.44900000000007,23.919738211722155
31.127000000000066,22.250693566728163
31.762000000000057,21.01305236446753
32.087999999999965,25.89014247780505
32.131000000000085,25.0269693115379
32.49699999999996,26.548179662051922
30.08400000000006,30.30477738947342
30.08400000000006,23.284531519459655
