true ang,predicted ang
-0.0007430500413928992,-0.0017238365506955541
-9.269108707839889e-05,-0.0018863558665904666
-0.0011159894730400004,-0.0014974736885691549
-0.002104683811012954,-0.0012241322262497086
-0.0005083877504387603,-0.001291405332728312
-0.0016228358683157784,-0.0016446601524737633
-0.002207544602602633,-0.0015717476562497946
-0.0007997244979822849,-0.001406877745171051
-0.001888306945658618,-0.00160745983032437
-0.0017019716095018314,-0.0015882547867243594
-0.0012500979181809474,-0.0016913296037736228
-0.001281758647775918,-0.001154714543219985
-0.001261463577150929,-0.0016413238772433271
-0.0009564043514195267,-0.0013632789440694677
-0.0009538185701069943,-0.001409773389424054
-0.0020815213898324144,-0.0016968008315620582
-0.0022608276066397254,-0.0015768128281290772
-0.0018001598275720673,-0.0012138897973893652
-0.0010353717445320593,-0.0012718439777819036
-0.0010723129944120425,-0.0012323826653430606
-0.0014769419977151772,-0.0015955160679849
-0.0014817056756974219,-0.0015873437807476971
-0.0022538794735184786,-0.0015500567610574338
-0.001874762450725528,-0.0015989289594933935
-0.002558862817487457,-0.001678607522236877
-0.0020203027898722903,-0.0015438098613485439
-0.0011663582808911067,-0.001279190443224718
-0.0021243711653798044,-0.0015382329308512351
-0.002605068963630391,-0.0014538724357956302
-0.0011020630522470922,-0.0015560170197620057
-0.0011293487852804365,-0.0014097290512372603
-0.0006518988743776537,-0.0012339875050934716
-0.0004996129027050383,-0.001278465691443491
-0.0010588964459625019,-0.001530864052713415
-0.0021263488421069416,-0.0016016518529566124
-0.0024452262217337494,-0.001097402910910628
-0.0013224724329226347,-0.0016080913612802235
-0.001422008173587957,-0.001623631858838026
-0.0015241071616993109,-0.0016235810367419526
-0.0020365667078326975,-0.0016537775549225983
-0.00196730146398052,-0.0015335863197288668
-0.0014177227491351365,-0.0013832070021807291
-0.0010142061969898844,-0.001346287399956779
-0.0012822407031900342,-0.0011720453740852337
-0.0015525787448009468,-0.0016277230777752328
