true I(max)-I(650),predicted I(max)-I(650)
0.081847440263005,0.1519961524158377
0.021206547260493838,0.15984986052542394
0.10721730407118321,0.13686649384323793
0.1691039845968107,0.11961215348305669
0.06489152223961404,0.12440705788306142
0.1416055645209417,0.14620126567434094
0.17949206475735224,0.134510454697259
0.08641120541099946,0.1316116810255182
0.15810974489584254,0.13922959510438834
0.1584142917341237,0.13996029529834939
0.11694626892908411,0.14456658302729342
0.11968196657996807,0.1146512036983455
0.11585591405116719,0.14480367141970302
0.1050560848001428,0.13257193568810172
0.10259846143731119,0.1300107463238978
0.17149976033825842,0.14884281578920383
0.1810625967893148,0.1370738852299403
0.16249602314714595,0.11897587943070778
0.10656047415966682,0.1231103078454963
0.11888776189576991,0.11789366771273473
0.13077892242675887,0.14063955253851151
0.12939934578103598,0.14072932095185703
0.1813528350547674,0.139336120699962
0.1788166881767574,0.13963392895127055
0.20933942013307663,0.14546436622420839
0.16914237401366983,0.13675821468700447
0.1105189478691784,0.12462931837537472
0.17868657200286642,0.14071022515226073
0.21136002164691647,0.13173459403193988
0.11550096812991242,0.1415357767181222
0.12097509531881277,0.13513448003840087
0.08066580834352291,0.11902378458383253
0.06121362608869731,0.12435084215849004
0.10717365971247493,0.13734729820908553
0.17930444032121545,0.1404263489071248
0.21937129598958924,0.10830967394247917
0.12437932345206246,0.1404088616436505
0.12848572168740807,0.144679565054325
0.13881828930672857,0.1438804725044361
0.17302906767014292,0.1467781159205202
0.1672529457749854,0.13553373488739692
0.13510314281207947,0.1341312491059014
0.10894629501383081,0.12224106117867413
0.12034572614149802,0.11689914146769068
0.13415781558537504,0.14444532283875916
